,Title,Location,reviewees,reviewers,reviews,ratings
27,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ian,"Great concept, kids loved it.
Toby and the team do a great job maintaining the site",5
28,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Angus,Very cool set up... definitely something different,5
29,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Kristie,Amazing stay would definitely use again! Very unique! Anybody who loves space/scfi/retro/old school gaming will love this!,5
30,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ffion,A quirky experience with hidden extras included. We thoroughly enjoyed our stay and our dog loved it to.  Recommend it to anyone looking for something different 😊👽🛸,5
31,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Sarah,"Couldn't fault anything.
We will definitely be back!",5
32,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Calum,"Quirky experience, fun for those who want something different",5
33,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,John,Really great place to stay! The flying saucer is fantastic fun to stay in. ,5
34,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Patricia,"It’s very secluded and quiet place, lovely and clean, would deffo recommend, Wolf is amazing very knowledgeable",5
35,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Zoe,Totally amazing!!! So well looked after site. The ufo was crazy! ,5
36,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Maire-Kate,"We had a fab time staying at Toby’s.
The UFO is very unique and my two children were in absolute awe. We were just gutted it was only for one night and we didn’t stay longer!",5
37,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Kent,"Fantastic location - we tried most of Dee and Dunc’s food and drink recommendations while in Edinburgh.   Devil’s Advocate was our favorite.  Dee and Dunc’s place has an excellent location, very roomy, and comfy.",5
38,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Brandon,"Loved staying at Dunc & Dee’s. The location was amazing to central Edinburgh. Everything was in walking distance, Waverley station, the royal mile, and Edinburgh castle. Throughly enjoyed our stay and will be back when we travel back to Edinburgh.",5
39,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Emily,"Dunc & Dee’s flat was the perfect stay to my first trip to Edinburgh. Apartment was clean and the kitchen was stocked with everything you could possibly need. There was a small issue with the heating during the stay that was resolved quickly and effectively by the hosts-excellent communication. Furthermore, the location is great for shopping and restaurants  within walking distance. Overall, a great experience!",5
40,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Rebecca,"We stayed at Dunc & Dee's for 6 nights. We loved the proximity to the Royal Mile, Waverly Station, and really everywhere we wanted to go in Edinburgh was walkable from the flat. It was also close to our daughter's uni accommodations, which was a huge plus!

The flat was cozy and had everything we needed for a stay that felt like we were at home. The bed was comfy, the towels were fluffy and the body wash, shampoo, lotion etc. were wonderful. We enjoyed the fabulous coffee, and now my husband wants to buy a mocha pot!

Communication was great. Would definitely recommend to anyone wanting to stay in the heart of old town.",5
41,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Jenn,My husband and I loved this stay. The location was perfect and we loved the recommendations left by the host. Would highly recommend !,5
42,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Crystal,"Definitely stay here if you’re in Edinburgh!  The place is perfectly situated to walk everywhere, really great location and VERY cute.  Hosts had amazing recommendations and sweet gifts for us.",5
43,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Meagan,"The apartment was super efficient and clean, a perfect location to see all the Old Town sites.  Dunc & Dee’s guide to the restaurants and pubs of the city was extremely helpful as well! Loved my Edinburgh stay.",5
44,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Lindsay & Ana,"I can’t say enough about what a wonderful Airbnb Dunc & Dee’s place is. I don’t want to give away this secret little gem but honestly, this is one of the best airbnbs I’ve stayed in. 

First off, you can’t beat the location. Everything is at your door step. The whole apartment is so well done, especially given the age of the building it is. Dunc and Dee went out of their way to leave champagne and homemade cookies. I wish all airbnbs were this well done!

I will happily stay here again  anytime I am in Edinburgh.",5
45,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Chris,"Count yourself lucky that this Artsy Flat is available during your dates! It was the absolute best thing about our 6 day stay in Edinburgh. It is filled with everything you need or could want: fresh flowers,  a welcome bottle of bubbly in the fridge, a starter supply of really good tea and coffee (and milk), upscale soap, etc at all sinks and in the shower, hair conditioner, the best iron I’ve ever used (Bosch’s), windows that open onto a Royal Mile intersection containing the best Womens’ wear shop in town. I could go on and on, but let me end with the fact that the Artsy Flat is walkable to everything you will want to see in Old Town or beyond! I can’t wait to get back.",5
46,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Lindsie,"The obvious: Location location location. Mere steps from the royal mile and snugly in old town. Couldn’t have picked a better spot
The not as obvious: Duncan and Dee have done a fantastic job of curating a home away from home. Everything from the space to the personal touches and welcome homemade shortbread was perfection. 
Highly highly recommend this stay",5
47,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Marcie,"Wonderful place! The location was perfect, right off the Royal Mile.  The hosts left very detailed directions for the apartment along with a list of suggestions for food, drinks, and entertainment. We really appreciated all the recommendations. 
    The apartment was very nice and well equipped. When we were not out exploring the city we enjoyed relaxing in the apartment. We would  highly recommend this place.",5
48,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Ashley,The PERFECT location. Very easy to find and very comfortable. Love having great amenities as well.,5
49,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,William,"Great hosts, great place, great location ! Around the corner from everything you would want to see in Edinburgh, but not on top of all of the tourists.",5
50,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Stalin,"Great place to stay at, good location, very comfortable.",5
51,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Margie,Dunc & Dee’s flat is super cute with the living room and kitchen being larger than we expected. It was great to make ourselves coffee in the morning and lounge in the comfy living room while planning our day. The location couldn’t be more convenient but you do have to get your suitcase up two flights so pack light.  😊,5
52,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Holly,"Had a great experience here. The hosts really thought of everything you could need during your stay. The location is great, the view from the flat is charming, and the hosts really made it easy. They thought of everything and provided great detail in the laminated forms in the flat that answer every question you could have. I’d stay here again!",5
53,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Katrina,"Gorgeous place, perfect location, lovely details, and an overall wonderful stay. Dunc & Dee were fabulous hosts with great communication, awesome local suggestions, and sweet welcome gifts xx",5
54,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Carl,"This flat is in the perfect spot to get quickly around Edinburgh.

They made sure the flat was well stocked and we really enjoyed our stay.

There was one small issue that Dee immediately took care of.  Things can happen and it's really how people respond that make the difference for me.

5 stars all around!",5
55,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Dawn,"The flat is in an ideal location to enjoy central Edinburgh and the main windows have a lovely view. The bathroom was very modern and there was a great supply of hot water and high-end toiletries. Luckily, the bedroom is at the back of the flat so it is perfectly quiet because you can hear quite a bit of traffic going over the brick street in the living room, but as long as you shut the bedroom door, it is very peaceful. The kitchen has everything that you need to make meals at home, including some cooking basics like oil, salt, pepper, etc. The flat is on a mid-level floor, so going up and down to street level was not a problem. I would say that the flat is relatively small (and I am from NYC so I know what small looks like), so I would not suggest this flat for a family, it is appropriate for a solo traveler or a couple. My only critiques would be that the flat is not idea for working, as the only table is very small and it is difficult to work on a computer with a mouse and still have space to take notes in meetings, but if you are not working full-time like me, then this will not be an issue. Also, the internet runs at about 25-35 MBpS, which was fine for my work situation, but others who need high-speed access might want to keep that in mind. Overall, I would say that the flat is lovely for holiday travelers looking for a convenient and well-stocked space.",5
56,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Scott,"Excellent location and everything needed for a relaxed and comfortable stay in Edinburgh.  Steps from the Royal Mile, an easy 10-15 minute walk to Princes Street and the New Town, plenty of restaurants and bars within minutes of the flat.  Hosts provided a useful list of recommendations regarding food and drink. Shower water pressure perfect.  Great choice for 1-2 people.",5
57,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Bryan,We throughly enjoyed our stay.  The flat was lovely and perfectly located. Dunc and Dee were very friendly. They also had very helpful recommendations! We would absolutely stay there again if/when we come back to Edinburgh!,5
58,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Karen,"We loved our stay in Edinburgh. The apartment was attractive and comfortable, and the location was fantastic. We definitely recommend it!",5
59,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Monica,"The apartment is in a perfect location in Edinburgh to see the Royal Mile and to join tours of Scotland.  It was well equipped with kitchen and bathroom essentials.  The hosts were very communicative with check in and left us a welcoming package.  There was also a few pages available of instructions and restaurant recommendations.  Hosts were easy to reach at all times.  It was a benefit to be able to explore the sights and have the apartment within walking distance of restaurants, the train station, and attractions.  There is also a nice view from one window!  A very pleasant experience!",5
60,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Janet,"The best thing about Dee and Dunc’s place is the location—just off the middle of the Royal Mile and right around the corner from a few cafe’s, pubs, and a small grocery store.  The place is small and up two flights of stairs but very functional with a comfy bed and great water pressure in the shower.  They also had a bathroom sink with drawers, something we had not seen before. They also provided a bottle of wine, starter coffee, and some fresh flowers to make us feel welcome.  Check in was clear (even if we did accidentally go to the wrong door first!), and they were kind enough to let us know that the place was ready early. Dee and Dunc also left clear instructions and good recommendations for restaurants and cafes.  We tried Mimi’s around the corner for scones, and Outsider for lunch one day (highly recommend). Another restaurant we liked for its quieter atmosphere but great food was Le Bistro, in the French Embassy.",5
61,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Robert,"A comfortable, clean, well lit apartment right in the center of where we wanted to be-    5 Stars !",5
62,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Jessica,Great location in Edinburgh! The hosts provided lots of great recommendations that helped make our stay great.,5
63,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Paula,Great location! Dee was a great host. She welcomed us with a bottle of Prosecco and provided us with amazing local recommendations in the area. We were very appreciative and enjoyed our stay.,5
64,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Sandra,This is the perfect spot for anyone visiting old town Edinburgh. Right in the middle of all the history. Very convenient and quiet at night. This apartment made us feel like home… or like a friend’s  apartment. It is very comfortable and inviting. Do be aware the toilet area is very small. It meant a lot to us to be able to stay in the renovated historical building. Perfect and cozy!,5
65,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Jillian,"From the thoughtful arrival gifts of Dee’s homemade shortbread and a bottle of Prosecco to the quick communication, I would highly recommend renting this spot. It’s location was also within walking distance to all the places I visited. Thanks again for a great stay!",5
66,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Tommy,Great location for exploring downtown. It was great to be able to pop in during the day as needed.,5
67,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Casey,"Lovely place to stay in Edinburgh. The space is small, but that’s to be expected for city dwellings. It was well located, comfortable, and great for our time. Thanks for everything!",5
68,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Emily,"Truly an amazing stay. The location absolutely cannot be beat, you are right near all the best spots in the city within walking distance. The communication with Dunc and Dee was impeccable and the style and decor of the flat was great. I wouldn’t want to stay anywhere else in Edinburgh.",5
69,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Tori,The AirBnb was perfect! It was the perfect location and it was great to be able to just get up and grab coffee across the street before starting our day!,5
70,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Shivalika,Amazing location and very cute apartment. The view from the living room is just beautiful and the laundry is a huge plus. Everything was perfect just the bed may be uncomfortable for two average sized people to fit in and the toilet is in a separate room than the bath.,5
71,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Rebecca,"This was the best Airbnb to stay in in Edinburgh! Very centrally located (5 min walk to anywhere we wanted to go whether it be new town, the castle, royal mile etc) while also being quiet! Dunc and Dee went above and beyond to make us feel welcomed with Prosecco and fresh milk for coffee and tea. Will definitely be back!",5
72,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Brooke,"My husband and I stayed here for the last few nights of our anniversary trip. The space was very comfortable, location was excellent, and hosts were exceptional. They  had amazing suggestions for where to eat and places to visit and we enjoyed all of the recommendations we had time to explore. We will definitely stay here again on our next visit to Edinburgh.",5
73,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Maddie,cute apartment in a very central spot!,4
74,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Christian,"This was a perfect getaway spot in a brilliant location in the heart of Edinburgh.  Flat was charming and comfy, and the hosts were super responsive!",5
75,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Ashley,Fantastic location and made us feel like locals.,5
76,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Sarah,We LOVED staying at Duncan & Dee’s place. They had just recently redecorated and it is SO wonderful and Dee did everything go make sure we were comfortable. The location is the BEST! We couldn’t have been happier. We loved this place and will definitely stay here again if we come back. Thank you Duncan and Dee!,5
77,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Tina,Wonderful location!  We enjoyed our stay and would stay here again!,5
78,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Jennifer,"Dee and Duncan are wonderful hosts who made sure to think of everything we might need for a comfortable stay in Edinburgh. You can’t ask for a better spot!  Perfect walking distance to all major sites and attractions with a cozy, private feel right in the middle of Old Town. Dee and Duncan were also so detailed and helpful with their welcome home brochure. They had a ton of food and pub suggestions which we thoroughly enjoyed. Do yourself and favor and book this flat. You won’t regret it!",5
79,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Kim,"We enjoyed our five night stay at this cute, comfortable flat in a perfect location just steps from the Royal Mile. The hosts were very responsive and went out of their way to ensure a great stay.  They provide helpful recommendations for eating out and nearby activities, and were very responsive to questions. The location was convenient to Sainsbury, which allowed us to get groceries and make breakfast each day at the flat. There are plenty of shops and restaurants nearby, and we enjoyed being able to walk to a lot of the attractions within about 15 minutes. We were lucky to be there during the Christmas Market,  and especially enjoyed strolling through the many choices of food and gifts and some impressive rides. Located down by Waverly train station, it is all beautifully lit up at night, and with the castle and monuments in the background, it is spectacular. We hope to be back to further explore this beautiful city, and would definitely enjoy staying in this flat again.",5
80,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Alina,"Dee and Dunc were so kind and communicative. They personally carried my bags up to the flat so I could explore the city hands free before check in. The flat itself was so lovely and cozy, with lots of thoughtful details, a detailed recommendation list and homemade cookies.",5
81,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Susan,Fantastic location.. great communication with hosts. Would stay again!,5
82,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Christian,"Perfect place to celebrate our anniversary, thank you for the champagne! Location couldn’t be better, we hope to be back next year!",5
83,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Nancy,"This stylish and comfy flat was just right for our 4 nights in Edinburgh. Great place to come home to after a day of meetings or a day of walking and seeing the city.  So many thoughtful touches, and good location.  We tried several of the hosts'  great restaurant recommendations and also discovered a few more!",5
84,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Cliff,Great place to stay. Right in the middle of old Town.,5
85,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Ashley & Joe,"Dunc & Dee's home was a lovely stop for our first home in Scotland! Upon entry and setting our bags down (gentle note on mobility: there is a spiral staircase to ascend with all your luggage before arriving at door), we were greeted with an adorably package stack of Dee's homemade shortbread!  We promptly made a proper cuppa and sat down and enjoyed a nice moment together in their lovely space, after a long hard day of travel. 
The tasty treats were a nice touch! The view of the beautiful Scottish architecture from the 1800s out the windows was a nice addition to our first few moments in Edinburgh.  
The Shower Room was cozy, with the heated towel rack, and the lovely rain shower style shower head, it was really nice to have a warm shower there after a long day of adventuring! 

The bathroom is split up into two rooms, the shower and sink are in one room, then the toilet and separate additional sink are in a separate room, (note it is a much smaller room, quite a bit small to navigate if in the middle of the night or not used to small, tight spaces.  It worked perfectly for us, I actually like it being a private little rest room nook, more true to the name ""water Closet"", but just a gentle heads up if you have a larger party.)
The kitchen was perfectly lovely & had everything we needed, (including a washer for laundry which was much required at this point in the trip), a cupboard stocked with tea, and the mini fridge even had milk and a bottle of prosecco for us although we did not have the use for it this trip, the addition was a nice touch and much appreciated! :)

The bedroom was lovely and stylish, with comfy pillows, and duvet! Loved that there was a spare blanket for those chilly fall Edinburgh evenings.  Bed was standard, spouse & I were split on comfortable level, so to each their own.  It was a much welcome rest point after an exhausting travel day.

Another appreciated ""bonus touch"" was the Bluetooth speaker, we enjoyed playing relaxing music in the evenings and curling up with a couple cups of tea.

  It was quite lovely staying in Dunc & Dee's place, we would stay again for our next Edinburgh trip for sure! Thank you for a lovely stay! 

-Ashley & Joe",5
86,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Ana,Great hosts!!!! Their list of recommendations was AMAZING!!! Had the best experiences in the restaurants they suggest. The location is unbeatable. Cozy apartment. Everything was perfect.,5
87,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Brittney,This apartment is perfectly located in the middle of the Royal Mile. It was nice and quiet despite being in the center of everything. It was also a convenient walk to Waverly Station. Thanks for hosting us!,4
