,Title,Location,reviewees,reviewers,reviews,ratings
19,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Martyn,wonderful place   much fun style really enjoyable relaxing  stayed ufo  ufos suppose  world absolutely fabulous time fantastic place  also cosy little touches really made  add lasers  lights  smoke   0s video games  adds absolutely brilliant time  special mention wolf friendly kind helpful  recommend highly enough back ,5
20,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Michelle,amazing time stayed ufo unique many different places stay lovely site everything hand great location would definetly recommend want stay something different 1  minutes tenby town centre wolf hand problems ,5
21,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Megan,   service  exceptional cleanliness hosting  would recommend return  warm welcome x,5
22,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Deb,unusual  quirky cool site   wolf showed us round accommodation looks amazing   ufo clean  comfy warm   even october   would recommend something completely different ,5
23,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Minty,stark kooky space people looking basics glamping  little lacking cosy touches space ship known comforts  said  bed comfortable communal kitchen well stocked equipment  space great points  kids galaxy projector ceiling night cool  could work  loved styling retractable steps noise surprise  especially night   great weekend  curled storm  snug bugs space ,4
24,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Katie,brill stay    ufo incredible    peaceful location      wolf always quick reply messages     whole site fab   back             ,5
25,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Siobhan,absolutely brilliant stay  everything exceptional right  wold brilliant help gave us really depth tour allowed us look different types accommodation  super friendly polite  ufo unbelievable definitely worth visit  thank much toby   wolf  definitely return distant future ,5
26,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Mali,great atmospheric pod ,4
27,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ian,great concept  kids loved  toby team great job maintaining site,5
28,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Angus,cool set    definitely something different,5
29,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Kristie,amazing stay would definitely use  unique  anybody loves space scfi retro old school gaming love ,5
30,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ffion,quirky experience hidden extras included  thoroughly enjoyed stay dog loved   recommend anyone looking something different    ,5
31,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Sarah,fault anything  definitely back ,5
32,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Calum,quirky experience  fun want something different,5
33,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,John,really great place stay  flying saucer fantastic fun stay  ,5
34,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Patricia,secluded quiet place  lovely clean  would deffo recommend  wolf amazing knowledgeable,5
35,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Zoe,totally amazing    well looked site  ufo crazy  ,5
36,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Maire-Kate,fab time staying toby  ufo unique two children absolute awe  gutted one night stay longer ,5
37,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Kent,fantastic location   tried dee dunc food drink recommendations edinburgh    devil advocate favorite   dee dunc place excellent location  roomy  comfy ,5
38,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Brandon,loved staying dunc   dee  location amazing central edinburgh  everything walking distance  waverley station  royal mile  edinburgh castle  throughly enjoyed stay back travel back edinburgh ,5
39,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Emily,dunc   dee flat perfect stay first trip edinburgh  apartment clean kitchen stocked everything could possibly need  small issue heating stay resolved quickly effectively hosts excellent communication  furthermore  location great shopping restaurants  within walking distance  overall  great experience ,5
40,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Rebecca,stayed dunc   dee   nights  loved proximity royal mile  waverly station  really everywhere wanted go edinburgh walkable flat  also close daughter uni accommodations  huge plus   flat cozy everything needed stay felt like home  bed comfy  towels fluffy body wash  shampoo  lotion etc  wonderful  enjoyed fabulous coffee  husband wants buy mocha pot   communication great  would definitely recommend anyone wanting stay heart old town ,5
41,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Jenn,husband loved stay  location perfect loved recommendations left host  would highly recommend  ,5
42,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Crystal,definitely stay edinburgh   place perfectly situated walk everywhere  really great location cute   hosts amazing recommendations sweet gifts us ,5
43,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Meagan,apartment super efficient clean  perfect location see old town sites   dunc   dee guide restaurants pubs city extremely helpful well  loved edinburgh stay ,5
44,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Lindsay & Ana,say enough wonderful airbnb dunc   dee place  want give away secret little gem honestly  one best airbnbs stayed    first  beat location  everything door step  whole apartment well done  especially given age building  dunc dee went way leave champagne homemade cookies  wish airbnbs well done   happily stay  anytime edinburgh ,5
45,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Chris,count lucky artsy flat available dates  absolute best thing   day stay edinburgh  filled everything need could want  fresh flowers   welcome bottle bubbly fridge  starter supply really good tea coffee  milk   upscale soap  etc sinks shower  hair conditioner  best iron ever used  bosch   windows open onto royal mile intersection containing best womens  wear shop town  could go  let end fact artsy flat walkable everything want see old town beyond  wait get back ,5
46,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Lindsie,obvious  location location location  mere steps royal mile snugly old town  picked better spot obvious  duncan dee done fantastic job curating home away home  everything space personal touches welcome homemade shortbread perfection   highly highly recommend stay,5
47,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Marcie,wonderful place  location perfect  right royal mile   hosts left detailed directions apartment along list suggestions food  drinks  entertainment  really appreciated recommendations       apartment nice well equipped  exploring city enjoyed relaxing apartment  would  highly recommend place ,5
48,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Ashley,perfect location  easy find comfortable  love great amenities well ,5
49,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,William,great hosts  great place  great location   around corner everything would want see edinburgh  top tourists ,5
50,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Stalin,great place stay  good location  comfortable ,5
51,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Margie,dunc   dee flat super cute living room kitchen larger expected  great make coffee morning lounge comfy living room planning day  location convenient get suitcase two flights pack light    ,5
52,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Holly,great experience  hosts really thought everything could need stay  location great  view flat charming  hosts really made easy  thought everything provided great detail laminated forms flat answer every question could  stay ,5
53,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Katrina,gorgeous place  perfect location  lovely details  overall wonderful stay  dunc   dee fabulous hosts great communication  awesome local suggestions  sweet welcome gifts xx,5
54,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Carl,flat perfect spot get quickly around edinburgh   made sure flat well stocked really enjoyed stay   one small issue dee immediately took care   things happen really people respond make difference     stars around ,5
55,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Dawn,flat ideal location enjoy central edinburgh main windows lovely view  bathroom modern great supply hot water high end toiletries  luckily  bedroom back flat perfectly quiet hear quite bit traffic going brick street living room  long shut bedroom door  peaceful  kitchen everything need make meals home  including cooking basics like oil  salt  pepper  etc  flat mid level floor  going street level problem  would say flat relatively small  nyc know small looks like   would suggest flat family  appropriate solo traveler couple  critiques would flat idea working  table small difficult work computer mouse still space take notes meetings  working full time like  issue  also  internet runs       mbps  fine work situation  others need high speed access might want keep mind  overall  would say flat lovely holiday travelers looking convenient well stocked space ,5
56,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Scott,excellent location everything needed relaxed comfortable stay edinburgh   steps royal mile  easy 10 1  minute walk princes street new town  plenty restaurants bars within minutes flat   hosts provided useful list recommendations regarding food drink  shower water pressure perfect   great choice 1   people ,5
57,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Bryan,throughly enjoyed stay   flat lovely perfectly located  dunc dee friendly  also helpful recommendations  would absolutely stay come back edinburgh ,5
58,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Karen,loved stay edinburgh  apartment attractive comfortable  location fantastic  definitely recommend ,5
59,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Monica,apartment perfect location edinburgh see royal mile join tours scotland   well equipped kitchen bathroom essentials   hosts communicative check left us welcoming package   also pages available instructions restaurant recommendations   hosts easy reach times   benefit able explore sights apartment within walking distance restaurants  train station  attractions   also nice view one window   pleasant experience ,5
60,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Janet,best thing dee dunc place location middle royal mile right around corner cafe  pubs  small grocery store   place small two flights stairs functional comfy bed great water pressure shower   also bathroom sink drawers  something seen  also provided bottle wine  starter coffee  fresh flowers make us feel welcome   check clear  even accidentally go wrong door first    kind enough let us know place ready early  dee dunc also left clear instructions good recommendations restaurants cafes   tried mimi around corner scones  outsider lunch one day  highly recommend   another restaurant liked quieter atmosphere great food le bistro  french embassy ,5
61,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Robert,comfortable  clean  well lit apartment right center wanted       stars  ,5
62,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Jessica,great location edinburgh  hosts provided lots great recommendations helped make stay great ,5
63,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Paula,great location  dee great host  welcomed us bottle prosecco provided us amazing local recommendations area  appreciative enjoyed stay ,5
64,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Sandra,perfect spot anyone visiting old town edinburgh  right middle history  convenient quiet night  apartment made us feel like home  like friend  apartment  comfortable inviting  aware toilet area small  meant lot us able stay renovated historical building  perfect cozy ,5
65,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Jillian,thoughtful arrival gifts dee homemade shortbread bottle prosecco quick communication  would highly recommend renting spot  location also within walking distance places visited  thanks great stay ,5
66,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Tommy,great location exploring downtown  great able pop day needed ,5
67,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Casey,lovely place stay edinburgh  space small  expected city dwellings  well located  comfortable  great time  thanks everything ,5
68,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Emily,truly amazing stay  location absolutely cannot beat  right near best spots city within walking distance  communication dunc dee impeccable style decor flat great  want stay anywhere else edinburgh ,5
69,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Tori,airbnb perfect  perfect location great able get grab coffee across street starting day ,5
70,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Shivalika,amazing location cute apartment  view living room beautiful laundry huge plus  everything perfect bed may uncomfortable two average sized people fit toilet separate room bath ,5
71,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Rebecca,best airbnb stay edinburgh  centrally located    min walk anywhere wanted go whether new town  castle  royal mile etc  also quiet  dunc dee went beyond make us feel welcomed prosecco fresh milk coffee tea  definitely back ,5
72,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Brooke,husband stayed last nights anniversary trip  space comfortable  location excellent  hosts exceptional   amazing suggestions eat places visit enjoyed recommendations time explore  definitely stay next visit edinburgh ,5
73,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Maddie,cute apartment central spot ,4
74,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Christian,perfect getaway spot brilliant location heart edinburgh   flat charming comfy  hosts super responsive ,5
75,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Ashley,fantastic location made us feel like locals ,5
76,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Sarah,loved staying duncan   dee place  recently redecorated wonderful dee everything go make sure comfortable  location best  happier  loved place definitely stay come back  thank duncan dee ,5
77,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Tina,wonderful location   enjoyed stay would stay ,5
78,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Jennifer,dee duncan wonderful hosts made sure think everything might need comfortable stay edinburgh  ask better spot   perfect walking distance major sites attractions cozy  private feel right middle old town  dee duncan also detailed helpful welcome home brochure  ton food pub suggestions thoroughly enjoyed  favor book flat  regret ,5
79,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Kim,enjoyed five night stay cute  comfortable flat perfect location steps royal mile  hosts responsive went way ensure great stay   provide helpful recommendations eating nearby activities  responsive questions  location convenient sainsbury  allowed us get groceries make breakfast day flat  plenty shops restaurants nearby  enjoyed able walk lot attractions within 1  minutes  lucky christmas market   especially enjoyed strolling many choices food gifts impressive rides  located waverly train station  beautifully lit night  castle monuments background  spectacular  hope back explore beautiful city  would definitely enjoy staying flat ,5
80,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Alina,dee dunc kind communicative  personally carried bags flat could explore city hands free check  flat lovely cozy  lots thoughtful details  detailed recommendation list homemade cookies ,5
81,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Susan,fantastic location   great communication hosts  would stay ,5
82,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Christian,perfect place celebrate anniversary  thank champagne  location better  hope back next year ,5
83,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Nancy,stylish comfy flat right   nights edinburgh  great place come home day meetings day walking seeing city   many thoughtful touches  good location   tried several hosts   great restaurant recommendations also discovered ,5
84,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Cliff,great place stay  right middle old town ,5
85,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Ashley & Joe,dunc   dee home lovely stop first home scotland  upon entry setting bags  gentle note mobility  spiral staircase ascend luggage arriving door   greeted adorably package stack dee homemade shortbread   promptly made proper cuppa sat enjoyed nice moment together lovely space  long hard day travel   tasty treats nice touch  view beautiful scottish architecture 1 00s windows nice addition first moments edinburgh    shower room cozy  heated towel rack  lovely rain shower style shower head  really nice warm shower long day adventuring    bathroom split two rooms  shower sink one room  toilet separate additional sink separate room   note much smaller room  quite bit small navigate middle night used small  tight spaces   worked perfectly us  actually like private little rest room nook  true name  water closet   gentle heads larger party   kitchen perfectly lovely   everything needed   including washer laundry much required point trip   cupboard stocked tea  mini fridge even milk bottle prosecco us although use trip  addition nice touch much appreciated      bedroom lovely stylish  comfy pillows  duvet  loved spare blanket chilly fall edinburgh evenings   bed standard  spouse   split comfortable level    much welcome rest point exhausting travel day   another appreciated  bonus touch  bluetooth speaker  enjoyed playing relaxing music evenings curling couple cups tea     quite lovely staying dunc   dee place  would stay next edinburgh trip sure  thank lovely stay     ashley   joe,5
86,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Ana,great hosts     list recommendations amazing    best experiences restaurants suggest  location unbeatable  cozy apartment  everything perfect ,5
87,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Brittney,apartment perfectly located middle royal mile  nice quiet despite center everything  also convenient walk waverly station  thanks hosting us ,4
88,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Chad,fantastic centralized location  warm welcoming space minimal street noise  hosts responded quickly questions provided lot detailed information regarding local attractions recommendations places eat drink  would definitely book ,5
89,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Doris,dunc dee extraordinary hosts  make feel welcome  location cannot beat  prompt responders ,5
90,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,David,perfect location hosts nicer  absolutely would stay ,5
91,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Sean,great location awesome hosts  list local recommendations best  many different options one 10 10 ,4
92,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Sharon,apartment exceptionally well located major attractions  variety pubs  restaurants shopping  appreciated thoughtful touches amenities  including homemade shortbread cookies  apartment comfortable well equipped stay  definitely recommend staying dunc dee apartment ,5
93,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Ashley,dunc dee flat absolutely wonderful place stay edinburgh  decorated beautifully stocked everything need  kitchen bathroom updated nice  living room spacious great place relax day sightseeing  flat walking distance train station  close lot sights restaurants edinburgh  ask better location  cooler flat  gracious hosts  place  loved staying exploring city ,5
94,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Greg,convenient  clean space near royal mile   host responsive helpful ,5
95,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Sarah,cute comfortable apartment  great location dee duncan offer great tips suggestions  highly recommend staying ,5
96,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Kelsie,loved chic apartment steps royal mile  apartment perfect size best friend  adorable space everything need  complete netflix login long list recommendations best spots nearby  favorite meals week stay list recommendations  loved everything stay ,5
97,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Michael,great flat fantastic location  close sights along royal mile well restaurants pubs   flat clean comfortable   great view front windows quiet bedroom back  newly renovated bathroom great water pressure plenty hot water   many many thoughtful touches amenities  including delicious home made shortbread   communication excellent  especially delayed arrival  wish nights spend edinburgh ,5
98,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Emily,clean  excellent location  cozy  comfortable  bed comfortable  enough kitchen space want make meals  great view windows  see goings old town area  never got bothered noise  nice  thank excellent hosts ,5
99,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Rafael,dunc   dee perfect place amazing location  near everything may want see amenities provided perfect  apartment cozy made feel welcomed right start  hassle super friendly  would definitely use future trips would highly recommend anyone ,5
100,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Mark,apartment close everything old town  great recommendations restaurants things see ,5
101,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Kelly,wonderful location excellent recommendations  went way prosecco snacks waiting us arrival sweet  enjoyed stay ,5
102,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Brad,  place great location  walked everywhere front door points interest minutes  hosts extremely helpful offering tips advice local restaurants etc  would definitely stay  apartment     flights stairs traveling excess baggage    ,5
103,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Brandy,highly recommend apartment  communication great hospitality top notch  location perfect  allowing us walk everything planned ,5
104,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Ginger,lovely clean apartment well situated near many attractions edinburgh ,5
105,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Rebekah,definitely superhosts  every review saw  guests rave shortbread cookies good reason  location stylish space special touches local recommendations  one best airbnb ever stayed   get started shower  amazing  highly recommend hope return another visit ,5
106,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Patricia,loved stay dunc dee place  location could better  perfect couple travelling child   yo   provided travel crib us  everything needed comfy space  dee homemade shortbread good ,5
107,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Nadine,enjoyed stay much  location everyone pointed terrific  place bit smaller expected served us well regardless  dunc   dee even shortbread  milk  coffee us fridge fantastic ,3
108,Walk the Royal Mile from an Artsy Flat," Flats for Rent in Edinburgh, City of Edinburgh, United Kingdom ",Dunc & Dee,Brandon,pleasant place stay helpful hosts  also excellent value ,5
